id,name,lng,lat,tag,created_at,updated_at
56,Plaza de San Juan de Díos,-6.2930171,36.529685,0,2019-05-31 15:55:04.8812,2019-05-31 15:55:04.8812
57,Torre Tavira,-6.2983218,36.531973,0,2019-05-31 15:55:04.891981,2019-05-31 15:55:04.891981
58,Kibek,8.8074747,53.024671,0,2019-05-31 15:55:04.899737,2019-05-31 15:55:04.899737
59,Zero Factory Store,8.8382182,53.050149,0,2019-05-31 15:55:04.90745,2019-05-31 15:55:04.90745
60,Ochtum Park,8.8053477,53.02981,0,2019-05-31 15:55:04.914115,2019-05-31 15:55:04.914115
61,Gebäude,10.045644,53.554836,0,2019-05-31 15:55:04.921341,2019-05-31 15:55:04.921341
62,Dürer Kert,19.090018,47.509772,0,2019-05-31 15:55:04.933023,2019-05-31 15:55:04.933023
63,"Eötvös utca, 26/b",19.062753,47.507104,0,2019-05-31 15:55:04.943609,2019-05-31 15:55:04.943609
64,Budapest Ferenc Liszt International Airport,19.257165,47.435258,0,2019-05-31 15:55:04.952506,2019-05-31 15:55:04.952506
65,A&D Designer Homes - Danube Promenade,19.044496,47.491819,0,2019-05-31 15:55:04.963566,2019-05-31 15:55:04.963566
66,Matthiaskirche,19.034295,47.502022,0,2019-05-31 15:55:04.974498,2019-05-31 15:55:04.974498
67,Burgpalast,19.03956,47.495987,0,2019-05-31 15:55:04.990997,2019-05-31 15:55:04.990997
68,Kőbánya-Kispest,19.148179,47.463636,0,2019-05-31 15:55:05.002901,2019-05-31 15:55:05.002901
69,Széll Kálmán tér,19.025661,47.507452,0,2019-05-31 15:55:05.016331,2019-05-31 15:55:05.016331
70,Budapest Baristas,19.060701,47.492545,0,2019-05-31 15:55:05.038294,2019-05-31 15:55:05.038294
71,New York Café,19.070518,47.498611,0,2019-05-31 15:55:05.046565,2019-05-31 15:55:05.046565
72,Kunstwerk,19.041223,47.498575,0,2019-05-31 15:55:05.052868,2019-05-31 15:55:05.052868
73,Szent György tér,19.038557,47.497667,0,2019-05-31 15:55:05.063797,2019-05-31 15:55:05.063797
74,Léhűtő,19.059701,47.498926,0,2019-05-31 15:55:05.071984,2019-05-31 15:55:05.071984
75,Karaván,19.062866,47.497098,0,2019-05-31 15:55:05.079389,2019-05-31 15:55:05.079389
76,St. Stephen's Basilica,19.053969,47.500782,0,2019-05-31 15:55:05.08773,2019-05-31 15:55:05.08773
77,Central Market Hall,19.058808,47.486744,0,2019-05-31 15:55:05.09524,2019-05-31 15:55:05.09524
78,Neubau Märtyrer-Denkmal,19.05005,47.503786,0,2019-05-31 15:55:05.106752,2019-05-31 15:55:05.106752
79,Parlamentsgebäude,19.045871,47.507094,0,2019-05-31 15:55:05.114448,2019-05-31 15:55:05.114448
80,Deutsche Bank,19.052285,47.507028,0,2019-05-31 15:55:05.122595,2019-05-31 15:55:05.122595
81,Millenniumsdenkmal,19.078214,47.51553,0,2019-05-31 15:55:05.133207,2019-05-31 15:55:05.133207
82,Ungarisches Landwirtschaftsmuseum,19.083074,47.515052,0,2019-05-31 15:55:05.142687,2019-05-31 15:55:05.142687
83,Hősök temetője,19.060456,47.496164,0,2019-05-31 15:55:05.152574,2019-05-31 15:55:05.152574
84,Anker't,19.059183,47.501333,0,2019-05-31 15:55:05.158451,2019-05-31 15:55:05.158451
85,PadThai wok2go,19.058604,47.498859,0,2019-05-31 15:55:05.165741,2019-05-31 15:55:05.165741
86,Cafe Vian,19.05906,47.498586,0,2019-05-31 15:55:05.174756,2019-05-31 15:55:05.174756
87,Blue Bird,19.059658,47.498334,0,2019-05-31 15:55:05.182008,2019-05-31 15:55:05.182008
88,One More Cafe,19.060028,47.498055,0,2019-05-31 15:55:05.192977,2019-05-31 15:55:05.192977
89,Szimpla Kert,19.063365,47.496911,0,2019-05-31 15:55:05.199862,2019-05-31 15:55:05.199862
90,Raiffeisen,19.055074,47.499423,0,2019-05-31 15:55:05.206859,2019-05-31 15:55:05.206859
91,Basseterre,-62.722301,17.296093,0,2019-05-31 15:55:05.213672,2019-05-31 15:55:05.213672
92,Cartagena,-75.527121,10.419584,0,2019-05-31 15:55:05.220025,2019-05-31 15:55:05.220025
93,Colón,-79.896343,9.3560848,0,2019-05-31 15:55:05.2261,2019-05-31 15:55:05.2261
94,Limón,-83.030459,9.9948984,0,2019-05-31 15:55:05.233344,2019-05-31 15:55:05.233344
95,Montego Bay,-77.921736,18.472459,0,2019-05-31 15:55:05.240342,2019-05-31 15:55:05.240342
96,Samaná,-69.334274,19.204249,0,2019-05-31 15:55:05.249485,2019-05-31 15:55:05.249485
97,St. John's,-61.844851,17.118456,0,2019-05-31 15:55:05.257404,2019-05-31 15:55:05.257404
98,La Romana,-68.973442,18.42728,0,2019-05-31 15:55:05.265868,2019-05-31 15:55:05.265868
99,Leonardo Hotel Köln Bonn Airport,7.110382,50.880706,0,2019-05-31 15:55:05.277112,2019-05-31 15:55:05.277112
100,Pedro Miguel Locks,-79.613156,9.017431,0,2019-05-31 15:55:05.284278,2019-05-31 15:55:05.284278
101,Unbekannter Ort,-79.703224,9.1158503,0,2019-05-31 15:55:05.293716,2019-05-31 15:55:05.293716
102,Miraflores Locks,-79.591282,8.9965678,0,2019-05-31 15:55:05.304118,2019-05-31 15:55:05.304118
